Kata,Klasifikasi
listrik,NOUN
arus,NOUN
AC,PROPN
diartikan,VERB
juga,ADV
sebagai,ADP
listrik,NOUN
arus,NOUN
bolak-balik,VERB
.,PUNCT
Alessandria,PROPN
(,PUNCT
bahasa,NOUN
Italia,PROPN
:,PUNCT
Provincia,PROPN
di,ADP
Alessandria,PROPN
),PUNCT
adalah,AUX
sebuah,DET
provinsi,NOUN
di,ADP
regione,NOUN
Piemonte,PROPN
di,ADP
Italia,PROPN
.,PUNCT
Sementara,SCONJ
Charles,PROPN
di,ADP
Belanda,PROPN
",",PUNCT
Inggris,PROPN
diperintah,VERB
oleh,ADP
Oliver,PROPN
Cromwell,PROPN
",",PUNCT
seorang,DET
pria,NOUN
biasa,ADJ
yang,PRON
telah,AUX
dipilih,VERB
sebagai,ADP
pemimpin,NOUN
negara,NOUN
oleh,ADP
Parlemen,PROPN
.,PUNCT
Dalam,ADP
babak,NOUN
play,X
-,PUNCT
off,X
kualifikasi,NOUN
melawan,VERB
",",PUNCT
Nakata,PROPN
mencetak,VERB
tiga,NUM
gol,NOUN
yang,PRON
meloloskan,VERB
Jepang,PROPN
ke,ADP
Piala,PROPN
Dunia,PROPN
Perancis,PROPN
1998,NUM
.,PUNCT
Akankah,_
Akan,AUX
kah,PART
Tamon,PROPN
akan,AUX
kembali,VERB
kepada,ADP
Mika,PROPN
?,PUNCT
``,PUNCT
Siapa,PRON
Ilham,PROPN
Aliyev,PROPN
?,PUNCT
Bagaimana,ADV
bila,SCONJ
proses,NOUN
itu,DET
terus,ADV
berlangsung,VERB
seratus,NUM
tahun,NOUN
?,PUNCT
Mengapa,ADV
?,PUNCT
",",PUNCT
apakah,_
apa,ADV
kah,PART
karena,SCONJ
Rasulullah,PROPN
memberikan,VERB
belanja,NOUN
yang,PRON
berlebih,VERB
terhadap,ADP
Zainab,PROPN
?,PUNCT
Dalam,ADP
pertandingan,NOUN
itu,DET
",",PUNCT
ia,PRON
tampil,VERB
sebagai,ADP
pemain,NOUN
pengganti,NOUN
Marek,PROPN
Jankulovski,PROPN
",",PUNCT
dan,CCONJ
pertandingan,NOUN
itu,DET
menjadi,VERB
penampilan,NOUN
tunggalnya,_
tunggal,ADJ
nya,DET
pada,ADP
musim,NOUN
2007,NUM
–,PUNCT
08,NUM
.,PUNCT
Lebih,ADV
lanjut,VERB
",",PUNCT
bagaimana,ADV
mengukur,VERB
kedua,NUM
aspek,NOUN
dari,ADP
satu,NUM
kegiatan,NOUN
iptek,NOUN
secara,ADP
konsisten,ADJ
dan,CCONJ
relatif,ADV
obyektif,ADJ
?,PUNCT
Kecamatan,PROPN
Dukuhseti,PROPN
memiliki,VERB
beberapa,DET
lembaga,NOUN
pendidikan,NOUN
mulai,ADP
tingkat,NOUN
TK,PROPN
hingga,ADP
SMA,PROPN
yang,PRON
terdiri,VERB
:,PUNCT
*,PUNCT
SMP,PROPN
Negeri,PROPN
1,NUM
Dukuhseti,PROPN
*,PUNCT
SMP,PROPN
Negeri,PROPN
2,NUM
Dukuhseti,PROPN
*,PUNCT
SMP,PROPN
BOPKRI,PROPN
3,NUM
*,PUNCT
SMP,PROPN
AKN,PROPN
Marzuqi,PROPN
*,PUNCT
MTs,PROPN
Arridlo,PROPN
Ngagel,PROPN
*,PUNCT
MTs,PROPN
Madarijul,PROPN
Huda,PROPN
Kembang,PROPN
*,PUNCT
MTs,PROPN
Manahijul,PROPN
Huda,PROPN
Ngagel,PROPN
*,PUNCT
MTs,PROPN
Mambaul,PROPN
Ulum,PROPN
Grogolan,PROPN
*,PUNCT
MTs,PROPN
Mathaliul,PROPN
Huda,PROPN
Bakalan,PROPN
*,PUNCT
MTs,PROPN
Miftahul,PROPN
Falah,_
Fa,PROPN
lah,PART
Puncel,PROPN
*,PUNCT
MTs,PROPN
Minsya,PROPN
',PUNCT
ul,PROPN
Wathon,PROPN
Grogolan,PROPN
*,PUNCT
MTs,PROPN
Tarbiyatul,PROPN
Banin,PROPN
Banat,PROPN
Alasdowo,PROPN
*,PUNCT
MA,PROPN
Madarijul,PROPN
Huda,PROPN
Kembang,PROPN
*,PUNCT
MA,PROPN
Manahijul,PROPN
Huda,PROPN
Ngagel,PROPN
*,PUNCT
MA,PROPN
Tarbiyatul,PROPN
Banin,PROPN
Banat,PROPN
Alasdowo,PROPN
*,PUNCT
SMK,PROPN
Manahijul,PROPN
Huda,PROPN
Ngagel,PROPN
*,PUNCT
SMK,PROPN
Manba,PROPN
',PUNCT
ul,PROPN
Huda,PROPN
Kembang,PROPN
Dukuhseti,PROPN
Pati,PROPN
*,PUNCT
SMK,PROPN
Telkom,PROPN
Terpadu,VERB
AKN,PROPN
Marzuqi,PROPN
*,PUNCT
SMA,PROPN
BOPKRI,PROPN
3,NUM
Adiknya,_
Adik,NOUN
nya,PRON
",",PUNCT
Kadir,PROPN
Halid,PROPN
",",PUNCT
adalah,AUX
manajer,NOUN
tim,NOUN
sepak,NOUN
bola,NOUN
PSM,PROPN
Makassar,PROPN
dan,CCONJ
pada,ADP
bulan,NOUN
Februari,PROPN
2011,NUM
telah,AUX
dilantik,VERB
menjadi,VERB
Ketua,NOUN
PSSI,PROPN
Sumatera,PROPN
Selatan,PROPN
.,PUNCT
Pendekatan,NOUN
baru,ADJ
ini,DET
disebut,VERB
trigonometri,NOUN
rasional,ADJ
dan,CCONJ
merupakan,VERB
hasil,NOUN
kerja,NOUN
dari,ADP
Dr,PROPN
.,PUNCT
Norman,PROPN
Wildberger,PROPN
dari,ADP
Universitas,PROPN
New,PROPN
South,PROPN
Wales,PROPN
.,PUNCT
Dalam,ADP
bentuk,NOUN
yang,PRON
lebih,ADV
umum,ADJ
",",PUNCT
energi,NOUN
ini,DET
harus,AUX
diintegralkan,VERB
berdasarkan,ADP
semua,DET
jenis,NOUN
panjang,NOUN
gelombang,NOUN
cahaya,NOUN
dan,CCONJ
sudut,NOUN
datang,NOUN
cahaya,NOUN
.,PUNCT
Sekarang,ADV
papyrus,VERB
ini,DET
disimpan,VERB
di,ADP
Berlin,PROPN
.,PUNCT
Dalam,ADP
bidang,NOUN
politik,NOUN
",",PUNCT
partai,NOUN
ini,DET
memperjuangkan,VERB
agar,ADP
kekuasaan,NOUN
sepenuhnya,NOUN
berada,VERB
di,ADP
tangan,NOUN
rakyat,NOUN
.,PUNCT
Provinsi,PROPN
Bandundu,PROPN
merupakan,VERB
sebuah,DET
provinsi,NOUN
di,ADP
Republik,PROPN
Demokrasi,PROPN
Kongo,PROPN
yang,PRON
memiliki,VERB
luas,NOUN
wilayah,NOUN
295.658,NUM
km2,NOUN
;,PUNCT
dan,CCONJ
populasi,NOUN
5.201,NUM
.,PUNCT
000,NUM
jiwa,NOUN
(,PUNCT
1998,NUM
),PUNCT
.,PUNCT
Komunisme,PROPN
atau,CCONJ
Marxisme,PROPN
adalah,AUX
ideologi,NOUN
dasar,ADJ
yang,PRON
umumnya,ADV
digunakan,VERB
oleh,ADP
partai,NOUN
komunis,NOUN
di,ADP
seluruh,DET
dunia,NOUN
.,PUNCT
Belyov,PROPN
(,PUNCT
),PUNCT
merupakan,VERB
sebuah,DET
kota,NOUN
di,ADP
Oblast,PROPN
Tula,PROPN
",",PUNCT
Rusia,PROPN
",",PUNCT
terletak,VERB
di,ADP
tepi,NOUN
kiri,NOUN
Sungai,PROPN
Oka,PROPN
.,PUNCT
Jumlah,NOUN
penduduk,NOUN
:,PUNCT
16083,NUM
(,PUNCT
Sensus,NOUN
2002,NUM
),PUNCT
;,PUNCT
17000,NUM
(,PUNCT
1967,NUM
),PUNCT
.,PUNCT
Air,NOUN
Terjun,NOUN
Gonggomino,PROPN
adalah,AUX
obyek,NOUN
wisata,NOUN
yang,PRON
terdapat,VERB
di,ADP
Kabupaten,PROPN
Kudus,PROPN
yaitu,ADP
di,ADP
daerah,NOUN
Gunung,PROPN
Muria,PROPN
.,PUNCT
Sebab,SCONJ
jika,SCONJ
tidak,PART
demikian,PRON
",",PUNCT
kamu,PRON
tidak,PART
tahan,VERB
uji,NOUN
.,PUNCT
Ia,PRON
mempertanyakan,VERB
beberapa,DET
fakta,NOUN
janggal,ADJ
seperti,ADP
mengapa,ADV
rekaman,NOUN
pengatur,NOUN
penerbangan,NOUN
saat,ADP
kejadian,NOUN
9,NUM
/,PUNCT
11,NUM
dirusak,VERB
oleh,ADP
komisioner,NOUN
FAA,PROPN
",",PUNCT
mengapa,ADV
kotak,NOUN
hitam,ADJ
tidak,PART
ditemukan,VERB
dari,ADP
satupun,_
satu,NUM
pun,PART
pesawat,NOUN
",",PUNCT
dan,CCONJ
juga,ADV
mempertanyakan,VERB
tingkat,NOUN
kemahiran,NOUN
pembajak,NOUN
yang,PRON
menurutnya,ADV
untuk,SCONJ
sekelas,ADJ
pilot,NOUN
berlisensi,VERB
pesawat,NOUN
perintis,ADJ
sangat,ADV
mencurigakan,VERB
dapat,AUX
mengendalikan,VERB
pesawat,NOUN
sekelas,ADJ
747,NUM
dengan,ADP
kecepatan,NOUN
tinggi,ADJ
dan,CCONJ
menabrakkannya,_
menabrakkan,VERB
nya,PRON
dalam,ADP
posisi,NOUN
target,NOUN
yang,PRON
tidak,PART
lebar,ADJ
.,PUNCT
Sering,ADV
orang,NOUN
bertanya,VERB
",",PUNCT
apa,PRON
cita-cita,NOUN
Amek,PROPN
kelak,NOUN
?,PUNCT
Pangeran,PROPN
Hisaaki,PROPN
menjabat,VERB
shogun,NOUN
di,ADP
Keshogunan,PROPN
Kamakura,PROPN
",",PUNCT
sedangkan,SCONJ
jabatan,NOUN
shikken,NOUN
dipegang,VERB
Hōjō,PROPN
Morotoki,PROPN
.,PUNCT
Simon,PROPN
memperoleh,VERB
cukup,ADV
banyak,ADV
penghargaan,NOUN
di,ADP
musim,NOUN
2001,NUM
-,PUNCT
2002,NUM
yang,PRON
menjadikannya,_
menjadikan,VERB
nya,PRON
sebagai,ADP
pemain,NOUN
bola,NOUN
basket,NOUN
yang,PRON
paling,ADV
banyak,ADV
gelar,NOUN
di,ADP
dalam,ADP
sejarah,NOUN
CBA,PROPN
.,PUNCT
Ia,PRON
menerima,VERB
penghargaan,NOUN
Player,PROPN
of,ADP
the,PROPN
Week,PROPN
sebanyak,ADV
empat,NUM
kali,NOUN
.,PUNCT
Rasul,PROPN
Paulus,PROPN
dalam,ADP
Surat,PROPN
Roma,PROPN
melukiskannya,_
melukiskan,VERB
nya,PRON
demikian,PRON
:,PUNCT
``,PUNCT
Atau,CCONJ
tidak,PART
tahukah,_
tahu,VERB
kah,PART
kamu,PRON
",",PUNCT
bahwa,SCONJ
kita,PRON
semua,PRON
yang,PRON
telah,AUX
dibaptis,VERB
dalam,ADP
Kristus,PROPN
",",PUNCT
telah,AUX
dibaptis,VERB
dalam,ADP
kematian-Nya,_
kematian-,NOUN
Nya,PRON
?,PUNCT
Kuneman,PROPN
merupakan,VERB
salah,ADJ
satu,NUM
desa,NOUN
yang,PRON
ada,VERB
di,ADP
kecamatan,PROPN
Alor,PROPN
Selatan,PROPN
",",PUNCT
kabupaten,PROPN
Alor,PROPN
",",PUNCT
provinsi,PROPN
Nusa,PROPN
Tenggara,PROPN
Timur,PROPN
",",PUNCT
Indonesia,PROPN
.,PUNCT
Jabatannya,_
Jabatan,NOUN
nya,PRON
sebagai,ADP
Kepala,PROPN
Library,PROPN
Technologies,PROPN
Group,PROPN
.,PUNCT
Mekanisme,NOUN
pendistribusian,NOUN
pada,ADP
layanan,NOUN
kabel,ADJ
sebenarnya,ADV
sederhana,ADJ
tapi,CCONJ
membutuhkan,VERB
dana,NOUN
yang,PRON
besar,ADJ
untuk,ADP
biaya,NOUN
operasional,ADJ
.,PUNCT
Pada,ADP
tahun,NOUN
2010,NUM
",",PUNCT
munisipalitas,NOUN
ini,DET
memiliki,VERB
populasi,NOUN
sebesar,ADP
16.865,NUM
jiwa,NOUN
atau,CCONJ
3.948,NUM
rumah,NOUN
tangga,NOUN
.,PUNCT
Maumu,_
Mau,NOUN
mu,PRON
kapan,ADV
sih,NOUN
?,PUNCT
-,PUNCT
Sebenarnya,ADV
kapan,ADV
yang,PRON
kamu,PRON
mau,VERB
?,PUNCT
Genus,PROPN
ini,DET
tersebar,VERB
di,ADP
seluruh,DET
daerah,NOUN
tropis,ADJ
dan,CCONJ
subtropis,ADJ
di,ADP
Dunia,PROPN
Baru,PROPN
",",PUNCT
dari,ADP
Amerika,PROPN
Selatan,PROPN
sampai,ADP
selatan,NOUN
Amerika,PROPN
Serikat,PROPN
.,PUNCT
Kiva,PROPN
sendiri,ADV
merupakan,VERB
singkatan,NOUN
dari,ADP
King,PROPN
of,PROPN
Vampire,PROPN
",",PUNCT
atau,CCONJ
Raja,PROPN
Vampir,PROPN
.,PUNCT
Agama,NOUN
kristen,PROPN
diterima,VERB
sebagai,ADP
agama,NOUN
rakyat,NOUN
(,PUNCT
Public,PROPN
Religion,PROPN
),PUNCT
.,PUNCT
Philipp,PROPN
Haastrup,PROPN
(,PUNCT
),PUNCT
adalah,AUX
seorang,DET
pemain,NOUN
sepak,NOUN
bola,NOUN
berkewarganegaraan,VERB
Jerman,PROPN
yang,PRON
bermain,VERB
untuk,ADP
klub,NOUN
Willem,PROPN
II,NUM
biasa,ADV
bermain,VERB
pada,ADP
posisi,NOUN
gelandang,NOUN
.,PUNCT
Peleus,PROPN
adalah,AUX
ayah,NOUN
Akhilles,PROPN
.,PUNCT
Yang,PRON
belum,PART
jelas,ADJ
adalah,AUX
mengapa,ADV
prasasti,NOUN
mengenai,ADP
pengembalian,NOUN
pemerintahan,NOUN
kepada,ADP
Raja,PROPN
Sunda,PROPN
itu,DET
terdapat,VERB
di,ADP
sana,NOUN
?,PUNCT
Mereka,PRON
mulai,VERB
memahat,VERB
batu-batu,NOUN
itu,DET
menjadi,VERB
cakram,NOUN
yang,PRON
berbentuk,VERB
bulan,NOUN
purnama,NOUN
tetapi,CCONJ
diberi,VERB
lubang,NOUN
di,ADP
tengah-tengahnya,_
tengah-tengah,NOUN
nya,PRON
.,PUNCT
Diego,PROPN
Pablo,PROPN
Simeone,PROPN
(,PUNCT
),PUNCT
adalah,AUX
mantan,NOUN
pemain,NOUN
sepak,NOUN
bola,NOUN
Argentina,PROPN
dan,CCONJ
saat,NOUN
ini,DET
menjabat,VERB
sebagai,ADP
pelatih,NOUN
kepala,NOUN
Atletico,PROPN
Madrid,PROPN
.,PUNCT
Gadung,PROPN
merambat,VERB
pada,ADP
tumbuhan,NOUN
berbatang,VERB
keras,ADJ
.,PUNCT
Awal,ADJ
tahun,NOUN
2007,NUM
",",PUNCT
Gading,PROPN
pernah,ADV
menghadapi,VERB
masalah,NOUN
seputar,ADP
ancaman,NOUN
pembunuhan,NOUN
lewat,ADP
SMS,NOUN
.,PUNCT
Merebak,VERB
dugaan,NOUN
",",PUNCT
SMS,NOUN
tersebut,DET
berkaitan,VERB
dengan,ADP
perilaku,NOUN
Gading,PROPN
yang,PRON
sering,ADV
merebut,VERB
pacar,NOUN
orang,NOUN
lain,ADJ
.,PUNCT
Balai,PROPN
ini,DET
tak,PART
hanya,ADV
akan,AUX
berfungsi,VERB
sebagai,ADP
monumen,NOUN
saja,ADV
tetapi,CCONJ
juga,ADV
sebagai,ADP
tempat,NOUN
sanggar,NOUN
budaya,NOUN
",",PUNCT
pameran,NOUN
seni,NOUN
",",PUNCT
ruang,NOUN
pendidikan,NOUN
",",PUNCT
akademis,ADJ
",",PUNCT
dan,CCONJ
tempat,NOUN
berekreasi,VERB
.,PUNCT
Pada,ADP
mamalia,NOUN
",",PUNCT
tiga,NUM
tulang,NOUN
ini,DET
disebut,VERB
malleus,NOUN
",",PUNCT
incus,NOUN
",",PUNCT
dan,CCONJ
stapes,NOUN
(,PUNCT
nama,NOUN
lainnya,ADJ
adalah,AUX
tulang,NOUN
martil,ADJ
",",PUNCT
landasan,NOUN
",",PUNCT
dan,CCONJ
sanggurdi,NOUN
),PUNCT
.,PUNCT
Haekesak,PROPN
terletak,VERB
39,NUM
km,NOUN
arah,NOUN
timur,NOUN
Kota,PROPN
Atambua,PROPN
",",PUNCT
ibukota,NOUN
Kabupaten,PROPN
Belu,PROPN
.,PUNCT
Kelurahan,PROPN
ini,DET
berbatasan,VERB
dengan,ADP
kali,PROPN
Ciliwung,PROPN
di,ADP
sebelah,ADP
utara,NOUN
",",PUNCT
Dengan,ADP
PASARAYA,PROPN
di,ADP
sebelah,ADP
barat,NOUN
",",PUNCT
dengan,ADP
kelurahan,PROPN
Bukit,PROPN
Duri,PROPN
di,ADP
sebelah,ADP
timur,NOUN
dan,CCONJ
dengan,ADP
Kelurahan,PROPN
Manggarai,PROPN
Selatan,PROPN
di,ADP
sebelah,ADP
selatan,NOUN
.,PUNCT
Sebelum,ADP
tahun,NOUN
2009,NUM
",",PUNCT
Kalang,PROPN
termasuk,VERB
Kecamatan,PROPN
Magetan,PROPN
.,PUNCT
Selain,ADP
itu,DET
",",PUNCT
jumlah,NOUN
pelajar,NOUN
usia,NOUN
muda,ADJ
di,ADP
Bekasi,PROPN
secara,ADP
signifikan,ADJ
meningkat,VERB
serta,CCONJ
jumlah,NOUN
penduduk,NOUN
dan,CCONJ
kompleks,NOUN
perumahan,NOUN
.,PUNCT
Desa,PROPN
Sodong,PROPN
memiliki,VERB
potensi,NOUN
yang,PRON
dalam,ADP
pembangunan,NOUN
yaitu,ADP
Curug,PROPN
dan,CCONJ
Agrowisata,PROPN
Salak,PROPN
Sodong,PROPN
",",PUNCT
selain,ADP
itu,DET
juga,ADV
dikenal,VERB
sebagai,ADP
penghasil,NOUN
kapulogo,NOUN
",",PUNCT
panili,NOUN
",",PUNCT
dan,CCONJ
cengkeh,NOUN
.,PUNCT
Lagu,NOUN
ini,DET
berdurasi,VERB
3,NUM
:,PUNCT
52,NUM
ini,DET
menduduki,VERB
posisi,NOUN
ke-1,ADJ
di,ADP
chart,NOUN
MTV,PROPN
Ampuh,PROPN
.,PUNCT
GameFAQs,PROPN
dimulai,VERB
dengan,ADP
nama,NOUN
Video,PROPN
Game,PROPN
FAQ,PROPN
Archive,PROPN
pada,ADP
5,NUM
November,NOUN
",",PUNCT
1995,NUM
.,PUNCT
Anggota,NOUN
gerakan,NOUN
ini,DET
disebut,VERB
dengan,ADP
panggilan,NOUN
"""",PUNCT
Setia,PROPN
Bait,PROPN
Suci,PROPN
"""",PUNCT
(,PUNCT
Temple,PROPN
Mount,PROPN
Faithful,PROPN
),PUNCT
.,PUNCT
Pada,ADP
tahun,NOUN
2003,NUM
",",PUNCT
dia,PRON
kembali,ADV
membintangi,VERB
Koi,PROPN
.,PUNCT
.,PUNCT
.,PUNCT
Mil,PROPN
Gaya,PROPN
dan,CCONJ
sekuelnya,_
sekuel,NOUN
nya,PRON
",",PUNCT
Krrish,PROPN
",",PUNCT
yang,PRON
sukses,ADJ
secara,ADP
komersial,ADJ
dan,CCONJ
dalam,ADP
dua,NUM
film,NOUN
tersebut,DET
",",PUNCT
Roshan,PROPN
memenangkan,VERB
berbagai,DET
penghargaan,NOUN
sebagai,ADP
Aktor,NOUN
Terbaik,ADJ
.,PUNCT
Amos,PROPN
Kaguta,PROPN
juga,ADV
adalah,AUX
ayah,NOUN
dari,ADP
saudara,NOUN
tiri,NOUN
Museveni,PROPN
",",PUNCT
Caleb,PROPN
Akandwanaho,PROPN
",",PUNCT
yang,PRON
lebih,ADV
dikenal,VERB
di,ADP
Uganda,PROPN
sebagai,ADP
"""",PUNCT
Salim,NOUN
Saleh,PROPN
"""",PUNCT
",",PUNCT
dan,CCONJ
saudara,NOUN
perempuannya,_
perempuan,NOUN
nya,PRON
Violet,PROPN
Kajubiri,PROPN
.,PUNCT
Selain,ADP
bernyanyi,VERB
ChunJi,PROPN
juga,ADV
menunjukkan,VERB
bakatnya,_
bakat,NOUN
nya,PRON
sebagai,ADP
seorang,DET
aktor,NOUN
",",PUNCT
mengikuti,VERB
kedua,NUM
rekannya,_
rekan,NOUN
nya,PRON
Niel,PROPN
dan,CCONJ
Ricky,PROPN
yang,PRON
merupakan,VERB
mantan,NOUN
aktor,NOUN
cilik,ADJ
.,PUNCT
Pada,ADP
bulan,NOUN
November,PROPN
1675,NUM
",",PUNCT
tugas,NOUN
Locke,PROPN
usai,VERB
dan,CCONJ
Locke,PROPN
pergi,VERB
ke,ADP
Perancis,PROPN
.,PUNCT
Tentu,ADV
saja,ADV
dalam,ADP
beberapa,DET
hal,NOUN
harus,AUX
diperhatikan,VERB
adu,NOUN
manisnya,_
manis,NOUN
nya,PRON
agar,ADP
dalam,ADP
mengolah,VERB
lagu,NOUN
itu,DET
tidak,PART
menjadi,VERB
berlebihan,VERB
.,PUNCT
Selain,ADP
itu,DET
Dompet,PROPN
Peduli,PROPN
Ummat,PROPN
DaarutTauhiid,PROPN
juga,ADV
berupaya,VERB
mengajak,ADP
masyarakat,NOUN
untuk,SCONJ
ikut,VERB
serta,VERB
dalam,ADP
mensosialisasikan,VERB
Qurban,NOUN
ini,DET
.,PUNCT
Saat,NOUN
ini,DET
selain,ADP
menjabat,VERB
sebagai,ADP
Senior,PROPN
Editor,PROPN
di,ADP
Harian,PROPN
Kompas,PROPN
",",PUNCT
Pengajar,NOUN
di,ADP
beberapa,DET
Universitas,PROPN
dan,CCONJ
anggota,NOUN
Komite,PROPN
Inovasi,PROPN
Nasional,PROPN
",",PUNCT
Ninok,PROPN
Leksono,PROPN
juga,ADV
menjabat,VERB
sebagai,ADP
Rektor,PROPN
Universitas,PROPN
Multimedia,PROPN
Nusantara,PROPN
",",PUNCT
sebuah,DET
universitas,PROPN
yang,PRON
didirikan,VERB
oleh,ADP
Kelompok,PROPN
Kompas,PROPN
Gramedia,PROPN
.,PUNCT
Pada,ADP
tahun,NOUN
2005,NUM
",",PUNCT
P&G,PROPN
mengumumkan,VERB
akuisisi,NOUN
Gillete,PROPN
",",PUNCT
dan,CCONJ
membentuk,VERB
perusahaan,NOUN
barang,NOUN
konsumen,NOUN
yang,PRON
bergerak,VERB
cepat,ADJ
terbesar,ADJ
kedua,ADJ
di,ADP
dunia,NOUN
",",PUNCT
dan,CCONJ
menjadi,VERB
saingan,NOUN
dari,ADP
Unilever,PROPN
.,PUNCT
Pantai,PROPN
Johor,PROPN
adalah,AUX
salah,ADJ
satu,NUM
kelurahan,NOUN
di,ADP
Kecamatan,PROPN
Datuk,PROPN
Bandar,PROPN
",",PUNCT
Tanjungbalai,PROPN
",",PUNCT
Sumatera,PROPN
Utara,PROPN
",",PUNCT
Indonesia,PROPN
.,PUNCT
Pada,ADP
saat,NOUN
ini,DET
ia,PRON
bermain,VERB
di,ADP
Divisi,PROPN
Kedua,ADJ
Rusia,PROPN
untuk,ADP
FC,PROPN
Dynamo,PROPN
Stavropol,PROPN
dipinjam,VERB
dari,ADP
FC,PROPN
Zhemchuzhina,PROPN
-,PUNCT
Sochi,PROPN
.,PUNCT
Lampihong,PROPN
Kanan,PROPN
adalah,AUX
ibukota,NOUN
Kecamatan,PROPN
Lampihong,PROPN
.,PUNCT
Ada,VERB
pengecualian,NOUN
dan,CCONJ
anakronisme,NOUN
:,PUNCT
contohnya,NOUN
",",PUNCT
pemikir,NOUN
Yunani,PROPN
Archimedes,PROPN
menurunkan,VERB
banyak,ADV
deskripsi,NOUN
kuantitatif,ADJ
yang,PRON
benar,ADJ
dari,ADP
mekanik,NOUN
dan,CCONJ
hidrostatik,NOUN
.,PUNCT
Selain,ADP
itu,DET
",",PUNCT
Croxley,PROPN
Rail,PROPN
Link,PROPN
akan,AUX
mendanai,VERB
pengalihan,NOUN
cabang,NOUN
Watford,PROPN
dari,ADP
jalur,NOUN
Metropolitan,PROPN
ke,ADP
Watford,PROPN
Junction,PROPN
",",PUNCT
dengan,SCONJ
mengembangkan,VERB
kembali,VERB
infrastruktur,NOUN
yang,PRON
menghubungkannya,_
menghubungkan,VERB
nya,PRON
ke,SCONJ
(,PUNCT
tempat,NOUN
ia,PRON
akan,AUX
berbagi,VERB
jalur,NOUN
dengan,ADP
London,PROPN
Overground,PROPN
),PUNCT
.,PUNCT
API,PROPN
mendukung,NOUN
terhadap,ADP
komunikasi,VERB
dan,CCONJ
tingkah,NOUN
laku,NOUN
yang,PRON
umum,NOUN
pada,ADP
hardware,NOUN
yang,PRON
dapat,AUX
digunakan,VERB
oleh,ADP
objek,NOUN
aplikasi,NOUN
lain,ADJ
.,PUNCT
Kijang,NOUN
atau,CCONJ
muncak,NOUN
adalah,AUX
kerabat,NOUN
rusa,NOUN
yang,PRON
tergabung,VERB
dalam,ADP
genus,NOUN
Muntiacus,PROPN
.,PUNCT
Di,ADP
Kelurahan,PROPN
Turen,PROPN
dan,CCONJ
Sedayu,PROPN
terdapat,VERB
industri,NOUN
besar,ADJ
",",PUNCT
yaitu,ADP
industri,NOUN
Amunisi,PROPN
PT,PROPN
PINDAD,PROPN
.,PUNCT
Ayahnya,_
Ayah,PROPN
nya,PRON
bahkan,ADV
berkata,VERB
",",PUNCT
``,PUNCT
Mengapa,ADV
tidak,PART
engkau,PRON
beri,VERB
tahu,VERB
bahwa,SCONJ
begitu,ADV
mulia,ADJ
dan,CCONJ
suci,ADJ
maksudmu,_
maksud,NOUN
mu,PRON
?,PUNCT
Alternatif,NOUN
lain,ADJ
",",PUNCT
setelah,ADP
tingkat,NOUN
radioaktivitas,NOUN
dan,CCONJ
pemancaran,NOUN
panas,ADJ
bahan,NOUN
bakar,NOUN
bekas,ADJ
menurun,VERB
drastis,ADJ
",",PUNCT
bahan,NOUN
bakar,NOUN
bekas,ADJ
dapat,AUX
dikeluarkan,VERB
dari,ADP
kolam,NOUN
penyimpanan,NOUN
dan,CCONJ
selanjutnya,ADV
disimpan,VERB
dengan,ADP
cara,NOUN
kering,ADJ
.,PUNCT
Pada,ADP
30,NUM
Desember,NOUN
1966,NUM
",",PUNCT
purwarupa,NOUN
ini,DET
memasuki,NOUN
masa,NOUN
bakti,ADJ
sebagai,ADP
T,NOUN
-,PUNCT
64,NUM
.,PUNCT
Nama,NOUN
gedung,NOUN
ini,DET
artinya,_
arti,VERB
nya,DET
mencoba,NOUN
dalam,ADP
bahasa,NOUN
Sanskerta,PROPN
.,PUNCT
Kecamatan,NOUN
ini,DET
terletak,VERB
di,ADP
bagian,NOUN
utara,NOUN
Kabupaten,PROPN
Jember,PROPN
.,PUNCT
Clichy,PROPN
en,PROPN
Aulnois,PROPN
dimiliki,VERB
para,DET
pimpinan,NOUN
Livry,PROPN
pada,ADP
Era,PROPN
Pertengahan,PROPN
.,PUNCT
Karena,ADP
aksen,NOUN
Irlandia,PROPN
Murphy,PROPN
",",PUNCT
Craven,PROPN
tidak,PART
yakin,ADJ
apakah,_
apa,SCONJ
kah,PART
dia,PRON
bisa,AUX
bermain,VERB
sebagai,ADP
Jackson,PROPN
Rippner,PROPN
",",PUNCT
yang,PRON
sejak,ADP
awal,ADJ
penulisan,NOUN
dan,CCONJ
pra,NOUN
-,PUNCT
casting,NOUN
",",PUNCT
karakter,NOUN
itu,DET
dispesifikasikan,VERB
sebagai,ADP
orang,NOUN
Amerika,PROPN
.,PUNCT
Siapa,PRON
tahu,VERB
_,PUNCT
Mungkin,ADV
besok,NOUN
?,PUNCT
Kereta,PROPN
Api,PROPN
Parahyangan,PROPN
adalah,AUX
kereta,NOUN
api,NOUN
bisnis,NOUN
eksekutif,ADJ
yang,PRON
dioperasikan,VERB
PT,PROPN
.,PUNCT
Kereta,PROPN
Api,PROPN
Indonesia,PROPN
(,PUNCT
Persero,PROPN
),PUNCT
di,ADP
Pulau,PROPN
Jawa,PROPN
pada,ADP
tahun,NOUN
1971,NUM
-,PUNCT
2010,NUM
dengan,ADP
jurusan,NOUN
Bandung,PROPN
(,PUNCT
BD,PROPN
),PUNCT
-,PUNCT
